user_id,username,hosted,guested,total
2306637,Secre,162,97,259
2931883,Ascendance,150,94,244
7890134,Jemzuu,97,139,236
702598,Spectator,122,87,209
4879508,JBHyperion,71,127,198
7811952,Kukkai,102,83,185
10674528,Verti,92,93,185
16352736,bighzonda,61,102,163
16355636,-Rustyy,42,103,145
8525921,Tenwa,31,109,140
2488026,rew0825,61,77,138
8630988,-Hex-,23,112,135
4778689,-Luminate,71,62,133
4741164,Nelly,66,64,130
2369776,Greaper,40,82,122
318565,Deif,61,48,109
6050530,Mniam,68,39,107
200768,ZiRoX,22,82,104
3071175,,44,60,104
5032045,wonjae,32,66,98
6053071,Du5t,22,69,91
4138746,Cielbami,49,41,90
566276,Rocma,46,43,89
7592136,Daletto,49,38,87
636114,autofanboy,40,41,81
4236057,Xinnoh,24,54,78
16301262,Sadu,29,45,74
12498861,kodak moment,47,26,73
8290364,[ Azu- ],24,48,72
531253,CLSW,35,32,67
8846762,4rcheR-,50,16,66
14714724,Vaqu,29,36,65
8140944,Dapulezatos,36,28,64
4023183,Benita,29,34,63
6492475,Mrbinking,26,37,63
12588215,Juansy-,20,41,61
6341006,Verso Dessendre,41,19,60
32159666,DizzyOracel,30,30,60
7946084,Joakh,28,31,59
829284,Bunnrei,33,25,58
11081858,GIGACHAD,26,31,57
20424806,Mochi -,30,27,57
6345176,Bastian,25,29,54
8266817,Natsuko,15,39,54
19647032,xornado,28,26,54
12315824,-Aku,17,36,53
3414261,Lona-,26,19,45
5404711,Des9,14,31,45
6524765,Chatie,19,25,44
1521445,Xinely,13,29,42
4915649,Lacrima,16,26,42
7496029,Sanyi,6,36,42
1942877,-Miya,22,19,41
4430811,-Ken,20,19,39
4820793,Unlucky_w,18,21,39
1806962,Yumeno Himiko,17,21,38
3922569,Dea ex machina,14,24,38
6689101,Xetopia,11,27,38
15492424,Quix,14,24,38
4863096,Malai,17,20,37
19290397,mieldeprairie,22,14,36
2150415,Nosuri,10,25,35
20340480,Shameimaru,11,23,34
12588486,Kegare-,5,27,32
9988837,-Joni-,12,18,30
13776127,zerokt,24,6,30
6069462,Phob,9,20,29
6291741,BlackBN,12,17,29
11239593,yuinn,16,11,27
13681464,Morusya,11,16,27
10786819,rinkiha,16,10,26
23525574,Zileni,4,21,25
4847256,Absolute Zero,8,16,24
7483452,JierYagtama,11,13,24
29847781,sawarabi,13,11,24
1913190,Sorceress,8,15,23
3482692,WildOne94,10,12,22
15274666,yeeeter,8,14,22
24092731,Eunie,9,13,22
6336713,My Angel RangE,17,3,20
8434466,wwwww,9,10,19
9331243,CyborKk,8,11,19
14057792,Souvenir,13,6,19
8417087,FruktoLove,11,7,18
10278243,SadEgg,8,10,18
3366264,Kagari,5,12,17
16253321,AlexDemon-,4,13,17
4994598,Oolt cloud,0,16,16
6443117,,4,12,16
10605929,_Misti,4,12,16
11899559,-I-I-,4,12,16
1237535,Cowboy,2,13,15
1957638,-Sh1n1-,10,5,15
3095784,Magic Girl,4,11,15
12883611,catgirlflowers,4,11,15
260933,Kurokami,6,8,14
1570876,mingmichael,5,9,14
1595221,Madoka Ayukawa,7,7,14
4480237,Moeruattack,2,12,14
8408065,Pepti,10,4,14
15960747,cosilgam,9,5,14
553656,Sey,5,8,13
1035891,Yoshi_green,6,7,13
2667256,hiroshiki,10,3,13
9913452,amulet-pp,6,7,13
14613788,Zvenx,6,7,13
2459589,F D Flourite,11,1,12
2774767,tasuke912,2,10,12
3498251,Arlecchino,10,2,12
