user_id,username,hosted,guested,total
748722,Drum-Hitnormal,99,114,213
3793196,Mochineko,71,123,194
11420336,Savageeeee,75,85,160
3484485,Syadow-,50,99,149
2596306,Akasha-,59,85,144
7707789,FAMoss,80,52,132
23097320,keksikosu,77,34,111
11704080,ML-ysg,61,48,109
13371424,Ainer,52,57,109
9030389,FerdiXIA-,50,56,106
14351534,Seiran-,59,39,98
9014584,Nabi-,30,67,97
8001433,Murumoo,70,23,93
14998645,DenYi,41,52,93
6089608,Shima Rin,56,36,92
8976576,-mint-,62,29,91
8647138,eZmmR,49,39,88
18382591,Chrisse,35,50,85
3057154,Ilham,51,30,81
10085090,Carpihat,67,8,75
15380643,Syrion-,51,24,75
2046044,[Emiria],20,53,73
4632359,[ A v a l o n ],37,36,73
7418493,Kibitz,59,13,72
31126430,Pyra-san,48,24,72
9228569,Amiichii,27,44,71
11863699,fvrex,52,18,70
3984370,Aruel,33,35,68
14768693,Ucitysm,38,29,67
23633474,Slowpoke104,13,54,67
17258072,Alicia,37,29,66
16630515,Reihynn,20,44,64
10764851,caracol,45,18,63
4610379,Rivals_7,50,11,61
16615040,Nicknem_,25,36,61
14095291,AelSan,46,14,60
13695676,Muse Dash,46,13,59
808176,Hydria,36,22,58
15328093,Mirsaaa,34,24,58
2300597,Bruce,9,47,56
4075092,Blocko,22,34,56
7590894,ExNeko,16,40,56
14190991,SuzumeAyase,31,24,55
12660835,Maria-Miau,13,41,54
6144772,Virtue-,20,31,51
8536263,Hytex,15,36,51
10449071,Hidden is fun,21,30,51
10678230,Irone OSU,40,11,51
845733,Faputa,13,37,50
3027421,Arzenvald,13,37,50
12424909,Revv-,23,27,50
1217122,Spy,34,15,49
10400730,-NoName-,38,11,49
12471868,vaporize-,24,25,49
7898495,Wonki,18,30,48
9206093,elexire,30,18,48
11061804,Flade,27,21,48
1653229,Breakrio,26,21,47
4115819,Sun,18,29,47
4815717,Feerum,33,14,47
9908055,BladeFanboy,24,23,47
11085809,Scotty,28,19,47
6185083,menphiss,23,23,46
6253266,-MysticEyes,31,15,46
34587251,-Enma-,30,16,46
6209713,_Kobii,25,20,45
9038483,Gabuu,22,23,45
12668735,Noch Einen,33,12,45
32074763,kartofle,36,8,44
2446000,richardfeder,25,18,43
4647754,Kawawa,33,10,43
14390680,anatharax,27,16,43
1411817,Zan-,15,27,42
2403444,Ichigaki,13,29,42
8525528,Rhezie,18,24,42
13340203,Paran,14,28,42
5170506,Ballistic,21,20,41
13026904,tyrcs,31,10,41
29645291,[TCD] Ena-suki,35,6,41
1787171,Super Creek,17,23,40
2881789,Flugegeheimen,15,25,40
5238367,-[ Peachy ]-,14,26,40
6974536,Lude,22,18,40
12920708,HimitsuHiketsu,21,19,40
16482505,Crisper,26,14,40
11103764,_Asha,18,20,38
9014047,Asherz007,11,25,36
15205070,Dispel-,18,18,36
6051688,BadDragon,21,14,35
17753835,Hoshimegu Mio,24,10,34
5314573,lenpai,16,17,33
8249608,AHHHHHHHHHHHHHH,27,6,33
20750584,cai_ji_ccc,20,13,33
3734394,Lirai,14,18,32
6316524,Yukari_Sama,20,12,32
7439939,by-ad,15,17,32
16046205,Usagi_,18,14,32
5604329,Rio1-,21,10,31
7560872,Unpredictable,7,24,31
8900975,BKwind,22,9,31
9461160,Roasted Chicken,23,8,31
14438535,Linlime,20,11,31
3070611,puxtu,13,17,30
3406652,Draftnell,23,7,30
6368737,AchsanLovers,12,18,30
7439226,Feraligatr,21,9,30
13495225,- Inui Toko -,6,24,30
2685408,Gahyeonln,10,19,29
6522146,Remuring,14,15,29
6814203,Monheim,24,5,29
8819336,Madoka2574,7,22,29
11626065,guden,19,10,29
12770065,_Rokii,10,19,29
13097231,My Angel Ina,15,14,29
16505281,Buschan,9,20,29
16687756,chocomilku-,16,13,29
27834381,P45ta,26,3,29
2616570,Kyousuke-,15,13,28
3037469,Niks,17,11,28
3094101,MEGAtive,8,20,28
4238941,AutotelicBrown,27,1,28
5186244,Dellvangel,9,19,28
9409456,Niko_Plays,23,5,28
9555243,Furryswan,20,8,28
13543418,secXcscX,18,10,28
16010604,Scisso,18,10,28
16712231,[TCD] Dzar03,16,12,28
2039089,arcwinolivirus,11,16,27
2633753,Sandalphon,21,6,27
4335785,Maxus,14,13,27
5222596,RiP46,19,8,27
6751666,Tailsdk,21,6,27
7138602,Leniane,14,13,27
13953619,Yuiesta,12,15,27
14453829,Pairoxd,8,19,27
17527968,V1do-,19,8,27
17673611,Anwul_,24,3,27
18563362,Concepte,17,10,27
19821902,HiniXz,20,7,27
26496648,Alptraum,16,11,27
31346265,AndreyChomik,8,19,27
3653042,Ayachi-,15,11,26
6419597,Damaree,16,10,26
12395688,MarioUniverseZ,21,5,26
15275662,deta5859,13,13,26
23384715,Worthlessnut9,8,18,26
2235750,_underjoy,13,12,25
3846265,VLisa,21,4,25
12519616,FLeVI,17,8,25
36321027,LINQAQ,19,6,25
8382535,Initial D,15,9,24
14635553,Raisky,15,9,24
21340543,Naiibe,12,12,24
3617111,PokeSky,14,9,23
4782226,Ppass,13,10,23
1147679,Harbyter,18,4,22
1192936,MapleSyrup-,16,6,22
3427638,Ryu Sei,18,4,22
5594381,riunosk,17,5,22
9492856,chy030_ft_pH5_6,14,8,22
11184912,danar,9,13,22
3360737,Jinjin,8,13,21
4693052,lemonguy,18,3,21
7037423,Al-Reina,8,13,21
7428653,LLENN-,9,12,21
7850508,taba2,17,4,21
11238501,Koyori Chan,16,5,21
11544934,[Sick]Catcat,14,7,21
16509588,wIntEr7z,17,4,21
25454675,NineSey,17,4,21
28330584,Karin-,12,9,21
2651304,FelixSpade,8,12,20
