user_id,username,hosted,guested,total
33599,Andrea,393,173,566
4754771,Akitoshi,39,506,545
4452992,Sotarks,395,145,540
1125647,Sakurai Miyo,65,461,526
896613,Lasse,253,236,489
5404892,kowari,49,431,480
700010,Laurier,45,377,422
19322780,Take,8,380,388
3376777,Kalibe,69,294,363
3723568,Kujinn,41,310,351
700887,Chino,111,215,326
2013571,Gegero,94,226,320
21662192,Amats,17,302,319
12157130,Wanpachi,81,224,305
2849992,Garden,112,176,288
1249323,Hinsvar,163,124,287
3388410,Annabel,160,121,281
7326908,Amateurre,121,159,280
6055351,gazimal,166,109,275
8688812,Mir,135,135,270
1467715,Gero,99,158,257
2032824,Momochikun,72,175,247
11119539,Flins,132,108,240
11628790,Harumiii,8,231,239
5364763,Nao Tomori,135,102,237
1634445,Dailycare,39,194,233
3193504,Kibbleru,60,161,221
7451883,Nevo,177,43,220
597957,riffy,73,145,218
1974436,HabiHolic,49,161,210
5579871,Agatsu,49,161,210
3178418,pishifat,89,119,208
5795337,TheShadowOfDark,20,185,205
2848604,toybot,52,152,204
959763,Flask,65,138,203
11270361,AsuKow,31,163,194
1243669,yf_bmp,40,153,193
2054596,324c,48,142,190
3807986,Shurelia,133,56,189
689997,captin1,61,127,188
7777875,Ryuusei Aika,164,24,188
1367570,Rizia,55,130,185
5062396,dahkjdas,33,152,185
26232141,ni[hao]lou,43,142,185
19048,Blue Dragon,101,81,182
869782,alacat,57,123,180
12572294,cjstmdals,19,161,180
24230576,Fuxi66,27,151,178
9487458,Mocaotic,45,132,177
3076909,Mafumafu,95,80,175
2363,DJPop,117,57,174
2652951,Trynna,33,138,171
6174349,Kuki1537,36,135,171
9327302,SMOKELIND,110,60,170
12328,Larto,93,75,168
360437,bossandy,87,81,168
5596337,Daycore,75,91,166
2506267,SnowNiNo_,19,146,165
6149313,Pata-Mon,39,125,164
10077264,nik,30,133,163
4403937,Irohas,41,121,162
4086497,Plus4j,103,58,161
3621552,Chaoslitz,97,63,160
1876867,Fycho,63,96,159
13947939,pnky,51,108,159
2226083,arronchu1207,22,135,157
3143784,Karen,41,115,156
9416836,wafer,114,41,155
1848318,CalstoneLightO,45,109,154
1233255,PandaHero,55,98,153
10839549,FreezingAnimenz,31,122,153
5115995,A r M i N,35,117,152
6186628,Affirmation,26,124,150
1661227,Satellite,48,100,148
8722791,schoolboy,44,104,148
7784933,Pepekcz,29,118,147
266596,-kevincela-,26,120,146
1953876,Natsu,75,71,146
2841009,Mirash,53,93,146
9704802,zekk,67,79,146
1603923,Delis,39,106,145
2204515,Mao,91,54,145
5156153,DeRandom Otaku,60,85,145
10820856,,44,101,145
197805,Niva,52,92,144
1052994,Milan-,74,70,144
5286213,Deppyforce,25,119,144
962837,__Ag,25,118,143
4564285,Ascended,60,83,143
4378277,Log Off Now,90,52,142
3230571,Doormat,48,93,141
7891266,frozz,44,96,140
10507407,Nymphe,28,110,138
6347,ztrot,114,22,136
546991,tutuhaha,85,51,136
1997633,Lliria,105,31,136
16080485,Sanayui,17,119,136
1686145,Len,41,94,135
654883,No_Gu,42,92,134
4334976,Aeril,53,80,133
11771,Sonnyc,63,69,132
873961,Skystar,34,98,132
2683648,Gaia,42,90,132
3222353,Aresonia,73,59,132
2706438,Monstrata,99,32,131
1287964,Irreversible,30,100,130
2433507,Koiyuki,27,103,130
10773882,FuJu,23,107,130
3181083,AJT,101,28,129
5410645,Icekalt,50,79,129
1949710,Misure,15,112,127
3947634,Shiyun,29,98,127
4694602,Down,37,90,127
6300910,Nagi Seishiro,63,64,127
4960893,Djulus,22,104,126
10726630,Smoke,87,39,126
2099102,Little,39,86,125
7901324,Shunao,30,95,125
12693713,killian,42,83,125
8501291,iljaaz,60,64,124
13142180,Aurorance,33,91,124
2688581,Luscent,78,45,123
3772301,Haruto,31,92,123
7262798,LMT,28,95,123
19511007,SupaV,35,88,123
99269,Krisom,74,48,122
13466351,Xahlt,33,89,122
418699,fanzhen0019,25,96,121
14339830,Mimari,49,71,120
11106929,Wispy,56,63,119
22406733,SUISEI69,26,93,119
1623405,Okoayu,64,54,118
4668230,Hazu-,20,98,118
12727076,Heroine,42,76,118
19380721,karupa,65,53,118
2123087,hehe,79,38,117
4026817,Xen,10,106,116
270377,jonathanlfj,65,50,115
27343,ignorethis,22,92,114
1945090,DreaM117er,26,88,114
5099768,Neto,87,27,114
5312547,Lafayla,53,61,114
5504231,Shmiklak,65,49,114
9022451,Bloxi,64,49,113
3161834,Yugu,54,58,112
9063995,-Mikan,79,33,112
275300,wring,10,101,111
1521445,Xinely,33,78,111
1872496,Meg,44,67,111
3109248,lit120,71,40,111
1826598,Narcissu,26,84,110
4323406,VINXIS,61,49,110
918297,Realazy,61,48,109
9426712,browiec,47,62,109
5728,James,86,22,108
8005579,iRedi,20,88,108
14940019,Kanui,35,73,108
2857314,Seto Kousuke,48,59,107
3533958,fieryrage,44,63,107
4314710,Kensuke,8,99,107
6223841,intiaz,29,78,107
9234078,Malphs,27,80,107
13069714,tachibanaka,23,84,107
2649717,Yogurtt,40,65,105
5062061,Left,40,65,105
19603724,Vanya,38,67,105
1715720,Asphyxia,54,50,104
4485933,milr_,19,85,104
6644401,isekaijoucho,57,47,104
25999,Diasios,44,59,103
640611,Kyshiro,29,74,103
1856463,IamKwaN,7,96,103
4879380,921206025887,31,72,103
6175280,Cris-,58,45,103
12763959,ameponzu,28,75,103
15823344,Ryxliee,27,76,103
27767,happy30,51,51,102
4657504,Silent Rock,13,89,102
12190421,Setu,19,83,102
17332378,alevi,40,62,102
3131236,kanor,32,69,101
5139042,Mekki,24,77,101
5318910,sahuang,43,58,101
115291,Vicho,21,79,100
419954,Regou,35,65,100
4230454,Froskya,32,68,100
8953955,Zelq,24,76,100
9155377,hypercyte,52,48,100
10527102,Kumocha,16,84,100
12941686,sanairrt,28,72,100
2202645,Myxo,38,61,99
2407160,Mint,18,81,99
7150015,,64,35,99
7354729,Petal,61,38,99
25993,Alace,19,79,98
8939857,ponbot,26,72,98
9088487,Deca,44,54,98
11655886,Basensorex,22,76,98
5281072,EnuHQ,37,60,97
9562117,Aranel,54,43,97
13857624,Aruyy,14,83,97
16383529,eringiRa,19,78,97
8972308,Scub,48,48,96
9351565,Ducky-,25,71,96
8067876,Seolv,19,76,95
13650508,App,53,42,95
343624,pkhg,17,77,94
1047883,RLC,24,70,94
2716981,Nozhomi,61,33,94
5226970,Nayah,74,20,94
5405836,Crissa,40,54,94
11403815,tomatas95,80,14,94
17695,Mafiamaster,67,26,93
695678,Frey,21,72,93
8406396,Yudragen,43,50,93
9320502,Astronic,23,70,93
4279523,Yorita Yoshino,25,67,92
4298072,iBell,51,41,92
3045895,[Hatsune Miku],25,64,89
7905848,Asuka_-,27,62,89
108066,Cyril Scarlet,56,32,88
2439246,Asagi,12,76,88
8357007,My Angel Ram,15,73,88
835998,cRyo[iceeicee],17,70,87
3124248,Eithne,23,64,87
3558897,Iceluin,31,56,87
14305018,Share,38,49,87
631530,Leader,52,34,86
3044645,,34,52,86
3513559,ac8129464363,27,59,86
5337374,Kyuukai,40,46,86
10286675,Tannhauser,30,56,86
1285234,P A N,34,51,85
9936528,Kudou Chitose,14,71,85
12469536,momoyo,19,66,85
376831,wcx19911123,62,22,84
4746949,Dasvidaniya,26,58,84
4858573,Syph,54,30,84
4966334,DeviousPanda,40,44,84
134572,Kite,37,46,83
9131844,Sanch-KK,43,40,83
16429579,Stompy_,33,50,83
18505692,Ldnz,33,50,83
2800253,fnayR,49,33,82
6626249,LeCandy,27,55,82
12248,kioukiou,60,21,81
13996,Shinxyn,43,38,81
70730,Sure,59,22,81
9590557,Firika,18,63,81
11077540,aaeky,49,32,81
15113810,[Yoshino],4,77,81
3189514,CoLouRed GlaZeE,39,41,80
4037545,Battle,27,53,80
5875419,newton-,24,56,80
15553329,ItsCactus,10,70,80
444506,Saten,12,67,79
1244312,gust,38,41,79
2043401,Enon,25,54,79
9180442,PikAqours,19,60,79
394326,kanpakyin,50,28,78
601990,Nymph,45,33,78
3178411,Kencho,23,55,78
4698485,_kotachi_,36,42,78
11443437,[Karcher],46,32,78
13032817,KennethBBG,49,29,78
13646997,Le Mirai,23,55,78
1475828,walaowey,6,71,77
3789302,Ujimatsu Chiya,31,46,77
4030114,Lobelia,10,67,77
4561368,Anxient,21,56,77
5778687,Gibune,46,31,77
9558549,moonpoint,28,49,77
12895865,Hanakumo Rin,20,57,77
41481,Mashley,55,21,76
3170678,Otosaka-Yu,12,64,76
6443117,,47,29,76
7265097,Mordred,51,25,76
23326,GladiOol,19,56,75
3378391,-Keitaro,27,48,75
5645691,MeAqua tete,50,25,75
12602650,SayuMana,21,54,75
