user_id,username,hosted,guested,total
5938161,gaston_2199,156,154,310
845733,Faputa,171,121,292
14102976,Hivie,115,128,243
3196091,Genjuro,131,108,239
5159715,[-E S I A-],151,76,227
876419,Nardoxyribonucleic,71,153,224
3388410,Annabel,116,102,218
13069714,tachibanaka,90,114,204
15823344,Ryxliee,118,86,204
3577322,[R],65,121,186
19901680,,112,74,186
1980256,komasy,113,59,172
1263669,ulko,88,57,145
6291741,BlackBN,63,81,144
8005579,iRedi,88,53,141
3686901,Charlotte,96,42,138
194807,lepidopodus,17,118,135
11695793,Slyme,93,42,135
3901754,Cynplytholowazy,68,65,133
2774767,tasuke912,56,73,129
290128,OnosakiHito,15,113,128
394326,kanpakyin,57,68,125
14225226,_HeLLFly_,45,79,124
14947043,hz404,86,36,122
2474015,Capu,70,46,116
4956097,Nifty,87,28,115
22522738,Erowdi,85,30,115
6092181,Dusk-,74,33,107
12565402,meiqth,69,37,106
7131099,radar,74,27,101
4154071,Volta,51,49,100
7299864,Axer,67,32,99
4901066,4901066,20,78,98
310747,KanaRin,12,83,95
10415491,Amasugi,64,31,95
23322958,Linkff001,42,53,95
8693851,Greenshell,46,47,93
31610,climbb65588,3,81,84
2597417,Jaltzu,67,17,84
766371,qoot8123,17,66,83
8071438,Horiiizon,48,35,83
17664300,K a y o k o,43,40,83
2239480,Raiden,56,24,80
11357694,Lycanthrope,48,32,80
17415683,Undead Alice,45,35,80
11716851,skolodojko,46,32,78
12842392,arcpotato,19,59,78
1881639,Chromoxx,37,40,77
35619347,yakisode,63,14,77
31404061,SN707,38,38,76
7401,wmfchris,11,64,75
1506011,Mid,38,37,75
3869519,Ideal,35,40,75
7397496,Cryceptio,23,52,75
16494567,-Maruko-,29,45,74
1910766,Nwolf,25,48,73
5364763,Nao Tomori,48,24,72
128993,MMzz,18,53,71
1425253,DakeDekaane,31,40,71
9623142,Minh,43,28,71
11056763,Zhuosh,30,41,71
13681283,HEAVENLY MOON,50,21,71
197974,spboxer3,12,57,69
8121109,Raytoly,55,14,69
8301957,_gt,57,11,68
15118934,KyeX,28,40,68
113646,arien666,37,29,66
7095592,yassu-,24,42,66
155707,aabc271,12,52,64
465153,OzzyOzrock,10,54,64
1538223,Roger,21,43,64
8458835,Yasuho,35,27,62
4964596,iloveyou4ever,45,16,61
5321719,uone,10,51,61
8863359,realy0_,21,39,60
9912966,Zeth,40,20,60
13302996,,32,28,60
14708449,Molybdenum,35,23,58
10678230,Irone OSU,37,20,57
626907,Stefan,40,16,56
4230454,Froskya,29,27,56
4993032,Alchyr,50,6,56
9964420,paz08,34,22,56
14706521,Ognjen3800,54,2,56
156215,Mapper 31,1,54,55
1259391,Kulalaying,48,7,55
4050738,HiroK,9,46,55
13281473,Antti,32,22,54
36055680,waidabu,24,28,52
30496573,Gsuncraft,21,30,51
481582,Yuzeyun,12,37,49
940878,TKS,21,28,49
1165475,JUDYDANNY,9,40,49
16320311,Eriha,39,10,49
6921736,Cychloryn,21,27,48
7807444,chmekoe,38,10,48
11931563,Roxy-,27,21,48
9463721,Ph0eNiiXZ,20,27,47
14036825,MTNTWarz,19,28,47
14800030,layxa,18,28,46
24587831,My Angel Noah,28,18,46
34027024,knzk1234,23,23,46
3044264,Skid,30,15,45
12967997,swake,15,30,45
22676825,vzlen,24,21,45
16736934,clockbite,22,22,44
29978316,-Kazuha,37,7,44
966210,mintong89,14,29,43
2403621,Asagi Mutsuki,14,29,43
4799788,vrnl,37,6,43
5482401,iceOC,25,18,43
14269506,nevqr,25,18,43
3611370,Surono,29,13,42
7774222,Akonine,35,7,42
14520910,Maimaing,25,17,42
9856910,Gamelan4,31,10,41
15191942,Eltigant,34,7,41
165027,Peaceful,14,26,40
2250574,Waribashi,13,27,40
8027517,miyagishima,13,27,40
17633940,Tatara Kogasa,8,32,40
8957119,wth,22,17,39
5217107,_Rise,23,15,38
8834793,MicSup08,28,10,38
15436568,Joltzzz,24,14,38
23374,Rokodo,0,37,37
4999506,Alwaysyukaz,21,16,37
43108,Sushi,33,3,36
480689,Kin,12,24,36
1421452,Tyistiana,21,15,36
7186791,yuki_momoiro722,16,20,36
11479122,Nostril,18,18,36
32993153,tmk,15,21,36
4007649,ikin5050,23,12,35
6637817,,34,1,35
263110,Backfire,8,26,34
4616752,yuzu__rinrin,12,22,34
9274708,kageminori,22,12,34
25993,Alace,5,28,33
360437,bossandy,1,32,33
6506484,duski,29,4,33
477744,inaba-tan,0,32,32
7394522,Rycy,17,15,32
13894938,- Lenkon,9,23,32
15272997,SimplySynthy,20,12,32
20882798,FabriGamer84,12,20,32
98985,DarkDunskin,4,27,31
1499299,ReySHeL,6,25,31
3662737,Blackener,12,19,31
4949934,rubies87,28,3,31
5258461,ZTH,23,8,31
6777358,beaw,8,23,31
15929172,Ares,17,14,31
7612550,frukoyurdakul,30,0,30
17630767,dtn,14,16,30
19951350,Jayceko,24,6,30
2140739,Shinsekai-,16,13,29
2377881,Y-Sun,19,10,29
2496768,Nishizumi,24,5,29
2998248,6_9,18,11,29
587737,Zetera,13,15,28
3918650,Raphalge,11,17,28
13806900,Doug,11,17,28
136385,xtrem3x,12,15,27
332555,HeatKai,8,19,27
